Design,Kategori,Ukuran,Variasi,Hari 1,Hari 2,Hari 3,Hari 4,Hari 5,Total
E,Anak,M,-,1,1,1,1,1,5
E,Anak,L,-,1,1,1,1,1,5
F,Dewasa,S,short,1,1,1,0,0,3
F,Dewasa,S,long,0,0,0,1,1,2
F,Dewasa,M,short,2,2,2,2,2,10
F,Dewasa,M,long,2,2,2,2,2,10
F,Dewasa,L,short,3,3,3,2,2,13
F,Dewasa,L,long,2,2,2,3,3,12
F,Dewasa,XL,short,2,2,2,2,2,10
F,Dewasa,XL,long,2,2,2,2,2,10
F,Dewasa,2XL,short,2,2,2,2,2,10
F,Dewasa,2XL,long,2,2,2,2,2,10
F,Dewasa,3XL,short,1,1,1,1,1,5
F,Dewasa,3XL,long,1,1,1,1,1,5
F,Anak,S,-,1,1,1,1,1,5
F,Anak,M,-,1,1,1,1,1,5
F,Anak,L,-,1,1,1,1,1,5
G,Dewasa,S,short,1,1,1,0,0,3
G,Dewasa,S,long,0,0,0,1,1,2
G,Dewasa,M,short,2,2,2,2,2,10
G,Dewasa,M,long,2,2,2,2,2,10
G,Dewasa,L,short,3,3,3,2,2,13
G,Dewasa,L,long,2,2,2,3,3,12
G,Dewasa,XL,short,2,2,2,2,2,10
G,Dewasa,XL,long,2,2,2,2,2,10
G,Dewasa,2XL,short,2,2,2,2,2,10
G,Dewasa,2XL,long,2,2,2,2,2,10
G,Dewasa,3XL,short,1,1,1,1,1,5
G,Dewasa,3XL,long,1,1,1,1,1,5
G,Anak,S,-,1,1,1,1,1,5
G,Anak,M,-,1,1,1,1,1,5
G,Anak,L,-,1,1,1,1,1,5
H,Dewasa,S,short,1,1,1,0,0,3
H,Dewasa,S,long,0,0,0,1,1,2
H,Dewasa,M,short,2,2,2,2,2,10
H,Dewasa,M,long,2,2,2,2,2,10
H,Dewasa,L,short,3,3,3,2,2,13
H,Dewasa,L,long,2,2,2,3,3,12
H,Dewasa,XL,short,2,2,2,2,2,10
H,Dewasa,XL,long,2,2,2,2,2,10
H,Dewasa,2XL,short,2,2,2,2,2,10
H,Dewasa,2XL,long,2,2,2,2,2,10
H,Dewasa,3XL,short,1,1,1,1,1,5
H,Dewasa,3XL,long,1,1,1,1,1,5
H,Anak,S,-,1,1,1,1,1,5
H,Anak,M,-,1,1,1,1,1,5
H,Anak,L,-,1,1,1,1,1,5
I,Dewasa,S,short,1,1,1,0,0,3
I,Dewasa,S,long,0,0,0,1,1,2
I,Dewasa,M,short,2,2,2,2,2,10
I,Dewasa,M,long,2,2,2,2,2,10
I,Dewasa,L,short,3,3,3,2,2,13
I,Dewasa,L,long,2,2,2,3,3,12
I,Dewasa,XL,short,2,2,2,2,2,10
I,Dewasa,XL,long,2,2,2,2,2,10
I,Dewasa,2XL,short,2,2,2,2,2,10
I,Dewasa,2XL,long,2,2,2,2,2,10
I,Dewasa,3XL,short,1,1,1,1,1,5
I,Dewasa,3XL,long,1,1,1,1,1,5
I,Anak,S,-,1,1,1,1,1,5
I,Anak,M,-,1,1,1,1,1,5
I,Anak,L,-,1,1,1,1,1,5
J,Dewasa,S,short,1,1,1,0,0,3
J,Dewasa,S,long,0,0,0,1,1,2
J,Dewasa,M,short,2,2,2,2,2,10
J,Dewasa,M,long,2,2,2,2,2,10
J,Dewasa,L,short,3,3,3,2,2,13
J,Dewasa,L,long,2,2,2,3,3,12
J,Dewasa,XL,short,2,2,2,2,2,10
J,Dewasa,XL,long,2,2,2,2,2,10
J,Dewasa,2XL,short,2,2,2,2,2,10
J,Dewasa,2XL,long,2,2,2,2,2,10
J,Dewasa,3XL,short,1,1,1,1,1,5
J,Dewasa,3XL,long,1,1,1,1,1,5
J,Anak,S,-,1,1,1,1,1,5
J,Anak,M,-,1,1,1,1,1,5
J,Anak,L,-,1,1,1,1,1,5
K,Dewasa,S,short,1,1,1,0,0,3
K,Dewasa,S,long,0,0,0,1,1,2
K,Dewasa,M,short,2,2,2,2,2,10
K,Dewasa,M,long,2,2,2,2,2,10
K,Dewasa,L,short,3,3,3,2,2,13
K,Dewasa,L,long,2,2,2,3,3,12
K,Dewasa,XL,short,2,2,2,2,2,10
K,Dewasa,XL,long,2,2,2,2,2,10
K,Dewasa,2XL,short,2,2,2,2,2,10
K,Dewasa,2XL,long,2,2,2,2,2,10
K,Dewasa,3XL,short,1,1,1,1,1,5
K,Dewasa,3XL,long,1,1,1,1,1,5
K,Anak,S,-,1,1,1,1,1,5
K,Anak,M,-,1,1,1,1,1,5
K,Anak,L,-,1,1,1,1,1,5
L,Dewasa,S,short,1,1,1,0,0,3
L,Dewasa,S,long,0,0,0,1,1,2
L,Dewasa,M,short,2,2,2,2,2,10
L,Dewasa,M,long,2,2,2,2,2,10
L,Dewasa,L,short,3,3,3,2,2,13
L,Dewasa,L,long,2,2,2,3,3,12
L,Dewasa,XL,short,2,2,2,2,2,10
L,Dewasa,XL,long,2,2,2,2,2,10
L,Dewasa,2XL,short,2,2,2,2,2,10
L,Dewasa,2XL,long,2,2,2,2,2,10
L,Dewasa,3XL,short,1,1,1,1,1,5
L,Dewasa,3XL,long,1,1,1,1,1,5
L,Anak,S,-,1,1,1,1,1,5
L,Anak,M,-,1,1,1,1,1,5
L,Anak,L,-,1,1,1,1,1,5
M,Dewasa,S,short,1,1,1,0,0,3
M,Dewasa,S,long,0,0,0,1,1,2
M,Dewasa,M,short,2,2,2,2,2,10
M,Dewasa,M,long,2,2,2,2,2,10
M,Dewasa,L,short,3,3,3,2,2,13
M,Dewasa,L,long,2,2,2,3,3,12
M,Dewasa,XL,short,2,2,2,2,2,10
M,Dewasa,XL,long,2,2,2,2,2,10
M,Dewasa,2XL,short,2,2,2,2,2,10
M,Dewasa,2XL,long,2,2,2,2,2,10
M,Dewasa,3XL,short,1,1,1,1,1,5
M,Dewasa,3XL,long,1,1,1,1,1,5
M,Anak,S,-,1,1,1,1,1,5
M,Anak,M,-,1,1,1,1,1,5
M,Anak,L,-,1,1,1,1,1,5
N,Dewasa,S,short,1,1,1,0,0,3
N,Dewasa,S,long,0,0,0,1,1,2
N,Dewasa,M,short,2,2,2,2,2,10
N,Dewasa,M,long,2,2,2,2,2,10
N,Dewasa,L,short,3,3,3,2,2,13
N,Dewasa,L,long,2,2,2,3,3,12
N,Dewasa,XL,short,2,2,2,2,2,10
N,Dewasa,XL,long,2,2,2,2,2,10
N,Dewasa,2XL,short,2,2,2,2,2,10
N,Dewasa,2XL,long,2,2,2,2,2,10
N,Dewasa,3XL,short,1,1,1,1,1,5
N,Dewasa,3XL,long,1,1,1,1,1,5
N,Anak,S,-,1,1,1,1,1,5
N,Anak,M,-,1,1,1,1,1,5
N,Anak,L,-,1,1,1,1,1,5
X,Dewasa,S,short,2,2,2,0,0,6
X,Dewasa,S,long,0,0,0,2,2,4
X,Dewasa,M,short,4,4,4,4,4,20
X,Dewasa,M,long,4,4,4,4,4,20
X,Dewasa,L,short,6,6,6,4,4,26
X,Dewasa,L,long,4,4,4,6,6,24
X,Dewasa,XL,short,4,4,4,4,4,20
X,Dewasa,XL,long,4,4,4,4,4,20
X,Dewasa,2XL,short,4,4,4,4,4,20
X,Dewasa,2XL,long,4,4,4,4,4,20
X,Dewasa,3XL,short,2,2,2,2,2,10
X,Dewasa,3XL,long,2,2,2,2,2,10
X,Anak,S,-,2,2,2,2,2,10
X,Anak,M,-,2,2,2,2,2,10
X,Anak,L,-,2,2,2,2,2,10

=== TOTAL SEMUA 15 DESIGN ===
,Kategori,Ukuran,Variasi,Hari 1,Hari 2,Hari 3,Hari 4,Hari 5,Total
TOTAL,Dewasa,S,short,16,16,16,0,0,48
TOTAL,Dewasa,S,long,0,0,0,16,16,32
TOTAL,Dewasa,M,short,32,32,32,32,32,160
TOTAL,Dewasa,M,long,32,32,32,32,32,160
TOTAL,Dewasa,L,short,48,48,48,32,32,208
TOTAL,Dewasa,L,long,32,32,32,48,48,192
TOTAL,Dewasa,XL,short,32,32,32,32,32,160
TOTAL,Dewasa,XL,long,32,32,32,32,32,160
TOTAL,Dewasa,2XL,short,32,32,32,32,32,160
TOTAL,Dewasa,2XL,long,32,32,32,32,32,160
TOTAL,Dewasa,3XL,short,16,16,16,16,16,80
TOTAL,Dewasa,3XL,long,16,16,16,16,16,80
TOTAL,Anak,S,-,16,16,16,16,16,80
TOTAL,Anak,M,-,16,16,16,16,16,80
TOTAL,Anak,L,-,16,16,16,16,16,80
TOTAL,Semua,Semua,Semua,368,368,368,368,368,1840
